,index,rounds,player1,player2
0,0,round_of_32_0,Spandan_Aashish Kirti Singh_red,Salil Singla_Harish Kumar B V_blue
1,1,round_of_32_1,Vishy_Daya_black,NA
2,2,round_of_32_2,China_Akhil Jain_red,Abhishek Rajan_Sanyam Sood_blue
3,3,round_of_32_3,Swastik_Parikshith_black,Bharat S_bhishek Garhia_white
4,4,round_of_32_4,Aditya Saxena_Bhuvanesh MD_red,Shubh Mehrotra_GP_blue
5,5,round_of_32_5,Shailendra_Vivek_black,Mohan Krishna_Raaghav_white
6,6,round_of_32_6,Manish_Pulkit_red,Harish_Apurv_blue
7,7,round_of_32_7,JohnBose_KrishnaSingh_black,Ahan_Praveen_white
8,8,round_of_32_8,Mihir_Achyuth_black,NA
9,9,round_of_32_9,Dr. Deep H. W._Krishna Chaitanya_red,Amit Kumar Maharana_Bharath B S_blue
10,10,round_of_32_10,KC_Pankaj_black,Jatin_Amit_black
11,11,round_of_32_11,Rishab_Sharad_red,Vibhu Agarwal_Sahil Sakirwar_blue
12,12,round_of_32_12,Sandeep_Purushottam_black,Manoj_Natarajan_white
13,13,round_of_32_13,Sudhansh Sharma_Anil Kumar_red,Vinod_Chandan_blue
14,14,round_of_32_14,Utkarsh_Anshul_black,Srujan chinthala_Shashank_white
15,15,round_of_32_15,Suthirth_Mukesh_black,Kshitij Choudhary_Prasham_blue
